aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
0.564,0.228,-0.787,18.127,12.634,-2.502,0.461,-0.557,-0.694,6.409,-4.333,4.395
0.614,0.203,-0.795,21.423,13.733,-2.38,0.487,-0.542,-0.707,5.188,-1.831,5.005
0.501,0.276,-0.88,23.376,10.864,-5.371,0.507,-0.526,-0.72,5.127,-0.854,4.761
0.519,0.274,-0.829,21.484,11.292,-4.089,0.518,-0.515,-0.738,5.493,-1.099,3.174
0.51,0.285,-0.843,19.958,10.925,-2.747,0.512,-0.522,-0.753,6.104,-1.831,0.916
0.506,0.3,-0.842,19.592,9.521,-3.54,0.5,-0.531,-0.756,5.493,-2.136,-1.282
0.521,0.297,-0.828,20.874,8.423,-5.005,0.486,-0.535,-0.747,3.967,-1.526,-2.686
0.534,0.286,-0.844,23.682,7.629,-6.592,0.468,-0.547,-0.743,3.174,-1.099,-3.479
0.55,0.291,-0.828,25.635,6.165,-7.751,0.454,-0.558,-0.737,3.296,-0.916,-3.174
0.568,0.269,-0.803,27.649,5.981,-7.446,0.45,-0.562,-0.729,3.54,-0.427,-2.319
0.559,0.247,-0.79,30.701,7.568,-6.653,0.451,-0.566,-0.725,4.333,0.0,-0.977
0.578,0.228,-0.8,30.579,10.803,-4.028,0.455,-0.563,-0.728,5.554,0.244,0.793
0.578,0.225,-0.803,26.611,12.573,-1.526,0.463,-0.557,-0.734,6.165,0.916,2.319
0.564,0.241,-0.808,20.996,11.78,0.183,0.473,-0.55,-0.741,6.47,2.014,3.357
0.539,0.269,-0.823,14.465,9.521,0.427,0.487,-0.527,-0.743,6.104,3.357,3.784
0.528,0.293,-0.831,8.362,6.836,0.366,0.492,-0.517,-0.75,5.554,4.333,2.991
0.516,0.327,-0.849,5.066,4.211,-0.244,0.487,-0.515,-0.757,4.517,4.7,1.77
0.522,0.337,-0.865,5.127,2.136,-0.977,0.484,-0.512,-0.754,2.441,5.371,0.427
0.526,0.328,-0.851,6.714,-0.488,-2.197,0.475,-0.51,-0.749,0.793,6.165,-1.099
0.548,0.316,-0.842,9.827,-1.831,-2.808,0.473,-0.51,-0.746,-0.122,6.836,-2.197
0.568,0.292,-0.839,12.817,-2.625,-3.113,0.476,-0.519,-0.746,0.244,6.897,-2.136
0.571,0.283,-0.813,14.038,-3.906,-3.479,0.478,-0.537,-0.746,0.61,6.348,-1.77
0.566,0.263,-0.789,14.282,-4.333,-2.991,0.477,-0.547,-0.744,0.916,5.432,-1.648
0.569,0.248,-0.781,13.855,-2.869,-1.77,0.473,-0.552,-0.741,1.709,4.395,-1.099
0.554,0.252,-0.761,11.23,-1.16,0.671,0.47,-0.552,-0.739,2.686,3.296,-0.183
0.542,0.281,-0.734,9.033,1.465,2.869,0.471,-0.545,-0.743,3.479,2.502,0.916
0.538,0.302,-0.75,7.507,4.7,3.418,0.471,-0.534,-0.745,4.028,2.686,2.319
0.526,0.321,-0.766,5.676,7.08,3.418,0.471,-0.52,-0.746,3.784,3.479,2.747
0.531,0.335,-0.802,5.31,9.033,3.357,0.472,-0.513,-0.75,3.601,4.7,2.502
0.528,0.344,-0.822,6.409,9.583,2.686,0.47,-0.513,-0.752,3.174,5.31,1.892
0.528,0.332,-0.832,8.545,9.338,1.77,0.469,-0.519,-0.748,2.319,5.432,1.221
0.538,0.314,-0.837,10.681,8.545,1.465,0.469,-0.529,-0.743,2.319,4.639,0.793
0.543,0.297,-0.835,11.414,6.958,1.404,0.463,-0.54,-0.741,2.869,3.235,0.61
0.54,0.29,-0.815,10.803,5.127,1.404,0.464,-0.546,-0.739,3.113,2.197,0.732
0.54,0.285,-0.796,9.766,4.822,1.831,0.471,-0.541,-0.737,3.296,2.014,1.343
0.537,0.286,-0.791,8.667,5.859,2.197,0.479,-0.535,-0.737,3.479,2.38,1.892
0.532,0.301,-0.802,8.24,7.202,2.319,0.482,-0.529,-0.738,3.784,2.258,2.136
0.525,0.304,-0.805,8.179,8.24,2.441,0.485,-0.523,-0.748,3.784,1.831,2.258
0.52,0.311,-0.805,6.958,6.836,1.404,0.484,-0.516,-0.755,3.418,2.075,2.747
0.517,0.308,-0.812,5.981,5.31,0.366,0.484,-0.514,-0.756,2.197,2.991,2.563
0.518,0.315,-0.82,5.737,4.272,-0.122,0.486,-0.517,-0.752,1.343,3.052,1.77
0.52,0.322,-0.828,6.47,2.869,-0.671,0.489,-0.517,-0.744,0.854,2.808,1.099
0.529,0.318,-0.826,8.179,1.404,-1.526,0.487,-0.521,-0.737,0.854,1.831,0.427
0.537,0.306,-0.819,8.911,0.732,-2.136,0.478,-0.523,-0.734,1.038,1.099,0.183
1.714,-0.257,1.272,-17.09,99.06,18.677,0.626,-0.934,1.138,-60.791,15.32,7.507
1.941,-0.382,1.421,-26.917,124.39,31.799,0.634,-0.849,1.381,-65.308,26.55,10.925
2.107,-0.501,1.432,-50.537,140.259,49.5,0.634,-0.742,1.62,-59.021,43.335,16.785
2.146,-0.563,1.386,-91.614,140.808,69.275,0.651,-0.544,1.762,-38.574,61.768,24.048
2.029,-0.527,1.279,-139.465,130.005,88.013,0.718,-0.337,1.826,-3.784,81.299,32.349
1.812,-0.376,1.15,-179.016,120.789,104.37,0.801,-0.109,1.781,40.344,99.731,40.344
1.571,-0.204,0.99,-198.303,122.375,118.103,0.958,0.177,1.615,88.562,119.507,49.316
1.337,-0.071,0.782,-198.608,134.705,130.981,1.215,0.398,1.345,134.888,142.334,60.12
1.141,-0.121,0.614,-185.913,151.978,145.325,1.539,0.652,0.998,171.692,165.405,62.744
0.928,-0.195,0.449,-172.791,157.715,153.442,2.002,1.04,0.594,196.838,183.167,46.814
0.733,-0.257,0.323,-165.771,159.668,162.292,2.341,1.38,0.192,214.966,185.12,4.883
0.478,-0.261,0.185,-171.326,158.508,171.021,2.471,1.48,-0.162,231.445,167.297,-58.777
0.194,-0.271,0.005,-187.561,155.396,174.988,2.337,1.532,-0.574,238.831,139.099,-121.521
-0.178,-0.279,-0.229,-210.144,151.123,175.049,2.103,1.368,-0.884,233.765,131.775,-162.109
-0.764,-0.203,-0.622,-234.192,152.161,171.021,1.944,1.207,-1.046,220.459,138.062,-190.063
-1.107,-0.013,-1.105,-246.948,161.682,156.738,1.726,1.141,-1.243,207.092,130.676,-211.609
-1.224,0.254,-1.69,-239.746,176.086,126.343,1.425,1.072,-1.416,204.529,117.493,-228.76
-1.102,0.467,-2.124,-225.159,199.707,94.727,0.967,0.948,-1.7,210.388,101.685,-242.371
-0.963,0.572,-2.294,-203.064,205.078,79.163,0.472,0.661,-2.043,217.346,89.539,-248.657
